rank,제목,가수,앨범,발매일,장르,유통사
1,Supernova,aespa,Armageddon - The 1st Album,2024.05.27,"댄스, 발라드, R&B/Soul, 록/메탈",카카오엔터테인먼트
2,Small girl (feat. 도경수(D.O.)),이영지,16 Fantasy,2024.06.21,랩/힙합,카카오엔터테인먼트
3,How Sweet,NewJeans,How Sweet,2024.05.24,댄스,YG PLUS
4,Supernatural,NewJeans,Supernatural,2024.06.21,J-POP,YG PLUS
5,소나기,이클립스 (ECLIPSE),선재 업고 튀어 OST Part 1,2024.04.08,"국내드라마, 록/메탈, 발라드","지니뮤직, Stone Music Entertainment"
6,Bubble Gum,NewJeans,How Sweet,2024.05.24,댄스,YG PLUS
7,Sticky,KISS OF LIFE,Sticky,2024.07.01,댄스,카카오엔터테인먼트
8,고민중독,QWER,1st Mini Album 'MANITO',2024.04.01,"록/메탈, 댄스, R&B/Soul",카카오엔터테인먼트
9,Armageddon,aespa,Armageddon - The 1st Album,2024.05.27,"댄스, 발라드, R&B/Soul, 록/메탈",카카오엔터테인먼트
10,SPOT! (feat. JENNIE),지코 (ZICO),SPOT!,2024.04.26,랩/힙합,YG PLUS
11,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity,2019.07.15,록/메탈,Dreamus
12,Magnetic,아일릿(ILLIT),SUPER REAL ME,2024.03.25,댄스,"지니뮤직, Stone Music Entertainment"
13,해야 (HEYA),IVE (아이브),IVE SWITCH,2024.04.29,댄스,카카오엔터테인먼트
14,나는 아픈 건 딱 질색이니까,(여자)아이들,2,2024.01.29,"댄스, 랩/힙합, 록/메탈, 일렉트로니카",카카오엔터테인먼트
15,첫 만남은 계획대로 되지 않아,TWS (투어스),TWS 1st Mini Album ‘Sparkling Blue’,2024.01.22,댄스,YG PLUS
16,Welcome to the Show,DAY6 (데이식스),Fourever,2024.03.18,"록/메탈, 발라드",Dreamus
17,예뻤어,DAY6 (데이식스),Every DAY6 February,2017.02.06,록/메탈,Dreamus
18,클락션 (Klaxon),(여자)아이들,I SWAY,2024.07.08,"발라드, 댄스",카카오엔터테인먼트
19,천상연,이창섭,천상연 (웹툰 '선녀외전' X 이창섭 (LEE CHANGSUB)),2024.02.21,발라드,YG PLUS
20,Boom Boom Bass,RIIZE,RIIZING - The 1st Mini Album,2024.06.17,"댄스, R&B/Soul",카카오엔터테인먼트
21,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,2021.10.11,"국내드라마, 발라드",(주)엔에이치엔벅스
22,에피소드,이무진,에피소드,2023.12.13,록/메탈,카카오엔터테인먼트
23,미안해 미워해 사랑해,Crush,눈물의 여왕 OST Part.4,2024.03.24,"국내드라마, 발라드",NHN벅스
24,온기,임영웅,온기,2024.05.06,"발라드, 댄스",카카오엔터테인먼트
25,우리들의 블루스,임영웅,IM HERO,2022.05.02,"발라드, 성인가요/트로트, 포크/블루스, 랩/힙합, 록/메탈, 재즈",Dreamus
26,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',2022.08.01,"댄스, R&B/Soul",YG PLUS
27,삐그덕 (Walk),NCT 127,WALK - The 6th Album,2024.07.15,댄스,카카오엔터테인먼트
28,Love wins all,아이유,The Winning,2024.02.20,"록/메탈, 발라드, 랩/힙합, R&B/Soul",카카오엔터테인먼트
29,Home,임영웅,온기,2024.05.06,"발라드, 댄스",카카오엔터테인먼트
30,모래 알갱이,임영웅,모래 알갱이,2023.06.05,발라드,Dreamus
31,비의 랩소디,임재현,비의 랩소디,2023.12.03,발라드,지니뮤직
32,내가 S면 넌 나의 N이 되어줘,TWS (투어스),TWS 2nd Mini Album ‘SUMMER BEAT!’,2024.06.24,"댄스, 발라드",YG PLUS
33,다시 만날 수 있을까,임영웅,IM HERO,2022.05.02,"발라드, 성인가요/트로트, 포크/블루스, 랩/힙합, 록/메탈, 재즈",Dreamus
34,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.,2023.07.14,댄스,YG PLUS
35,오래된 노래,"허각, 임한별, 이무진, 이진성 (먼데이 키즈), 김희재, #안녕",오래된 노래,2024.06.16,발라드,NHN벅스
